correo|nombre|dire|pais|departamento|prov|dist|ruc|rep|telefono|correo
humtec@humtec.edu.pe |asociacion para la formacion humana y capacitacion tecnica - prohumtec |av. victor andres belaunde oeste nº 1080 - urb. retablo ||lima |||||536-7978 |humtec@humtec.edu.pe 
afdp@human-aide.org |asociacion para la formacion y el desarrollo del peru - afdp |calle las palmas 314 urb. las palmeras del golf ii ||la libertad |||||044-422459 |afdp@human-aide.org 
sociasperu@hotmail.com |"asociacion para la inclusion y accion social ""socias peru ongd"" - "|av. peru nº 124 calvario ||ayacucho |||||066-316177 |sociasperu@hotmail.com 
asidh_piura@hotmail.com |asociacion para la investigacion y desarrollo humano - asidh |jr. lambayeque 369 ||piura |||||073-310138 |asidh_piura@hotmail.com 
lima@aider.com.pe |asociacion para la investigacion y desarrollo integral - aider |calle las camelias 174, piso 06 ||lima |||||595-6644 |lima@aider.com.pe 
suma.marka.ong@gmail.com |suma marka - ongd |urb. aziruni ii etapa mz. a lote 6 ||puno |||||051-363236 |suma.marka.ong@gmail.com 
info.aipides@gmail.com |aipides |pasaje san pablo mz. b lote 8 ||junín |||||984933373|info.aipides@gmail.com 
andes@andes.org.pe |asociacion para la naturaleza y el desarrollo sostenible - andes |calle ciro alegria h-13 / urb. santa monica ||cusco |||||(084) 245021 |andes@andes.org.pe 
mcarteagadv@gmail.com |asociacion para la niñez y su ambiente - ania |jr. dos de mayo 237 ||lima |||||628-7948 |mcarteagadv@gmail.com 
direccionejecutiva@tarpurisunchis.org |apurimac tarpurisunchis - |antabamba baja s/n -kolkaque (km. 7.5- escuela tarpurisunchis ||apurimac |||||983639900 - 983672994 |direccionejecutiva@tarpurisunchis.org 
aprodhcusco@gmail.com |asociacion para la promocion del desarrollo humano - aprodh |urb. los sauces c-4 ||cusco |||||084-226198 |aprodhcusco@gmail.com 
aprosmur@gmail.com ||jr. la encantada nº 104 urb. la florida ||junín |||||964773463|aprosmur@gmail.com 
jperez@asociacionpataz.org.pe |asociacion pataz - |jr. independencia 263 - oficina 302 ||la libertad |||||044-220477 |jperez@asociacionpataz.org.pe 
rgamarra@pazperuong.org |asociacion paz - peru - organismo no gubernamental - asociacion paz - peru |av. salaverry s/n lara ||arequipa |||||(054) 436555 |rgamarra@pazperuong.org 
info@pazholandesa.com |asociacion paz holandesa - |urbanizacion villa continental calle 4 nº 101 ||arequipa |||||(054) 432281 |info@pazholandesa.com 
csamame@yantalo.org |asociacion peru yantalo foundation - |calle jose gonzales 470, dpto. 602 ||lima |||||999642658|csamame@yantalo.org 
movimiento@atdcuartomundoperu.org |asociacion peruana a.t.d. cuarto mundo - |calle narciso arestegui 425, barrio de cruzpata ||cusco |||||(084) 256659 |movimiento@atdcuartomundoperu.org 
aspec@aspec.org.pe |asociacion peruana de consumidores y usuarios - aspec |av. jose ramirez gaston 151 ||lima |||||271-8000 |aspec@aspec.org.pe 
jrubio4@hotmail.com |auditivo - uyari - |calle spion llona 180 dpto. 501 ||lima |||||2218209|jrubio4@hotmail.com 
gerencia@appcacao.org / administracion@appcacao.org / ||jr saenz peña 525 - dpto 605 (alt. cuadra 38 av. brasil) ||lima |||||566-6067 |gerencia@appcacao.org / administracion@appcacao.org / 
jtakahashiperubambu@gmail.com |asociacion peruana del bambu - perubambu |av. melgarejo 156 urb. campo verde ||lima |||||348-3879 / 999851111 |jtakahashiperubambu@gmail.com 
apecoincaperu@yahoo.com |apecoinca |urb. sullana mz. m - lt. 13 ||piura |||||073-504933 |apecoincaperu@yahoo.com 
asc.per_mujeryfamilia@hotmail.com |asociacion peruana mujer y familia - mujer y familia |av. almirante grau 1022 (ex av. buenos aires)- callao ||callao |||||453-0817 |asc.per_mujeryfamilia@hotmail.com 
apdimaperu1@gmail.com |apdima |av. guardia peruana mz. d lote 10, int. 24 - urb. la campiña ||lima |||||252-7773 / 942834025 |apdimaperu1@gmail.com 
apeco@apeco.org.pe |asociacion peruana para la conservacion de la naturaleza - apeco |parque jose de acosta 187 ||lima |||||637-4474 / 264-5804 |apeco@apeco.org.pe 
aprodes@aprodes.org |asociacion peruana para la promocion del desarrollo sostenible - aprodes |av. tupac amaru 6530 - la pascana ||lima |||||436-8981 |aprodes@aprodes.org 
asanutperu@gmail.com |asociacion peruana para la seguridad alimentaria y nutricional - asanut |calle burgos s/n dpto. 101 block i ||lima |||||943429015|asanutperu@gmail.com 
dwser@hotmail.com |asociacion peruana refugio para mujeres maltratadas maria auxiliadora - |calle isla del gallo 169 ||lima |||||452-4676 |dwser@hotmail.com 
carrocerias@suenagacusco.com |asociacion peruano - japonesa cusco - |av. industrial j-3, urb. huancaro ||cusco |||||984751331|carrocerias@suenagacusco.com 
presiden@apj.org.pe |asociacion peruano japonesa - |av. gregorio escobedo 803 - residencial san felipe ||lima |||||518-7450 / 518-7500 |presiden@apj.org.pe 
master@inkagakuenh.com |asociacion peruano japonesa de la provincia de huaral - |calle julio c. tello nº 300 ||lima |||||246-1370 / 246-2855 |master@inkagakuenh.com 
hoferdetorres@gmail.com |asociacion peru-austria internacional - |calle agustin de la torre 240 ||lima |||||222-0279 |hoferdetorres@gmail.com 
jim.elliott@globalteer.org ||apv santa teresa chico a-1 ||cusco |||||984268906|jim.elliott@globalteer.org 
vrpp30@hotmail.com / victor.perez@efod.org.pe |asociacion por el equilibrio ecologico fuente de desarrollo - efod |jr. julio burga 412 ||huánuco |||||(062) 562239 |vrpp30@hotmail.com / victor.perez@efod.org.pe 
iriscespedes@yahoo.es |asociacion por eso peru - |calle ucayali 106 ||cusco |||||984756563|iriscespedes@yahoo.es 
wiaycausaq@hotmail.com |"causaq"" - wiñay causaq "|av. tulumayo 710, interior oficina 08 ||cusco |||||(084) 616757 |wiaycausaq@hotmail.com 
asociacionporlavida1@yahoo.es | - aspov |calle lancones 255 - santa rosa ||piura |||||073-353650 |asociacionporlavida1@yahoo.es 
asoc.dnc1@gmail.com |asociacion por los derechos del niño con cancer - |av. guzman blanco 240, oficina 1202 ||lima |||||492-2434 / 948061062 |asoc.dnc1@gmail.com 
castrattasnedperu@gmail.com |asociacion por los neuro discapacitados del peru - asned del peru |calle augusto wiesse 1229 - urb. vista alegre ||lima |||||971256145|castrattasnedperu@gmail.com 
posadadebelen1018@gmail.com |asociacion posada de belen chorrillos - |jr. santa teresa 1018 ||lima |||||497-5821 |posadadebelen1018@gmail.com 
erodriguez@usil.edu.pe |asociacion pro bienestar y desarrollo probide - |calle toulon 374 ||lima |||||348-5087 |erodriguez@usil.edu.pe 
liliana@aprodeh.org.pe |asociacion pro derechos humanos - aprodeh |jr. pachacutec 980. ||lima |||||431-0482 / 424-7057 |liliana@aprodeh.org.pe 
asociacionprodia@gmail.com |asociacion pro desarrollo integral de altiplano - asociacion pro dia |jr. j. moral n° 141, 2° piso ||puno |||||992110295 / 946717308 |asociacionprodia@gmail.com 
progreso@progreso.org.pe |asociacion promocion de la gestion rural economica y social - progreso |urb. el bosque mz a, lote 20 ||piura |||||(073) 341162 / 434676 |progreso@progreso.org.pe 
apids2016@hotmail.com |asociacion promotora integral de desarrollo social - |av. la marina 236 las delicias ||la libertad |||||(044) 466039 |apids2016@hotmail.com 
robertico@hotmail.com |apema |calle siete de enro 209 ||lambayeque |||||(074) 791586 / # 943405879 |robertico@hotmail.com 
aproval1@hotmail.com ||jr. ancash nº 543 oficina 311 ||junín |||||(064) 231536 |aproval1@hotmail.com 
nancyledesmadavalos@hotmail.com |asociacion propuesta latina - aprolatina |pasaje isla mazorca 116 urb. luis german astete ||lima |||||952965869|nancyledesmadavalos@hotmail.com 
dianaedadil@gmail.com |asociacion propurus - |jr. oscar r. benavides 473 ||ucayali |||||(061) 440664 |dianaedadil@gmail.com 
padesambiental@gmail.com |asociacion proteccion ambiental y desarrollo sostenible - pades |jr. lima 415, interior 4 ||junín |||||964930412 / 990960410 |padesambiental@gmail.com 
proyeccion.aqp@hotmail.com |asociacion proyeccion - |calle malaga grenet 505 - umacollo ||arequipa |||||054-275802 |proyeccion.aqp@hotmail.com 
prodevib@hotmail.com |asociacion proyecto de desarrollo vida buena - prodevib |jr. union 740 ||cajamarca |||||076-790133 |prodevib@hotmail.com 
educacion@monotocon.org |asociacion proyecto mono tocon - asociacion pmt |jiron reyes guerra 430 ||san martín |||||(042) 564462 |educacion@monotocon.org 
claudio.cavassa@proyectoperuanos.org / |asociacion proyecto peruanos - |avenida manuel olguin 335, oficina 801 ||lima |||||2076110|claudio.cavassa@proyectoperuanos.org / 
info@proyectosperu.com |asociacion proyectos peru - |carret. yarinacocha s/n san jose de yarina (base ofasa) ||ucayali |||||972856947|info@proyectosperu.com 
apina@apina.pe |asociacion pueblo indigena en accion - apu |urb. villa el periodista c-3 ||cusco |||||978292938 / 984998425 |apina@apina.pe 
pukllas@pukllasunchis.org |asociacion pukllasunchis - |calle siete diablitos 222 - san blas ||cusco |||||(084) 237918 / 261431 |pukllas@pukllasunchis.org 
sabinocutipa@hotmail.com |asociacion qolla aymara - |jr. carlos dreyer 468, barrio alto san martin ||puno |||||942292272|sabinocutipa@hotmail.com 
qosqomaki@qosqomaki.org |asociacion qosqo maki - |calle fierro 525 ||cusco |||||(084) 231513 |qosqomaki@qosqomaki.org 
aquinuawasi@gmail.com |asociacion quinua wasi - |urbanizacion chanu chanu 2° etapa - b4 lote 13 ||puno |||||990038211|aquinuawasi@gmail.com 
ras_peru@yahoo.es |asociacion red de apoyo solidario del buen pastor en el peru - ras - ras |jr. tacna 340 urb. orbea ||lima |||||263-4270 |ras_peru@yahoo.es 
redinnova@red-innova.com |asociacion red innova - |"av. 06 de agosto 1135 ""d"" "||lima |||||433-2435 / 330-8254 |redinnova@red-innova.com 
red_cientifica@outlook.com |asociacion red peruana de divulgadores cientificos - |calle monte sauce mz. h lote 3 ||lima |||||423-6279 |red_cientifica@outlook.com 
redsuma2017@gmail.com |asociacion red suma - |av. 6 de agosto 1135 d ||lima |||||330-8254 |redsuma2017@gmail.com 
csicuani@caritas.org.pe |asociacion religiosa caritas de la prelatura de sicuani - caritas sicuani |av. confederacion 618 ||cusco |||||084-351689 |csicuani@caritas.org.pe 
administracion@runayay.org / info@runayay.org |asociacion runayay - |av. euterpe 130 urb. el olimpo, salamanca ||lima |||||250-1536 |administracion@runayay.org / info@runayay.org 
hpachecodlj@hotmail.com |asociacion sabavida mejorando tu vida - sabavida |conjunto habitacional hilario mendivil d - 203 ||cusco |||||968160199|hpachecodlj@hotmail.com 
z.acha@hotmail.de |oportuna - |calle pevas 151 ||loreto |||||065-242328 |z.acha@hotmail.de 
se_sobrevivir@hotmail.com ||jr. tupac amaru 107- aa.hh. andres razuri ||piura |||||(073) 413598 |se_sobrevivir@hotmail.com 
ong.salvandomiplaneta@gmail.com |asociacion salvando mi planeta - |calle los laureles d-38, 2 piso, urb. san jose ||ica |||||(056) 623416 |ong.salvandomiplaneta@gmail.com 
mario@asociacionsanlucas.org |asociacion san lucas - san martin - asl-sm |jr. alonso de alvarado 1280 ||san martín |||||(042) 562836 |mario@asociacionsanlucas.org 
saviaandina@speedy.com.pe |asociacion savia andina pukara - |jr. leoncio prado 330 ||puno |||||054-563043 |saviaandina@speedy.com.pe 
info@sayariyperu.org |asociacion sayariy - resurgiendo - |calle francisco falcon 242-1 dpto. 4 urb. el sol ||la libertad |||||(044) 666575 |info@sayariyperu.org 
frank.hajek@seperu.org |asociacion servicios ecosistemicos peru - seperu |avenida fernandez concha 675 urb. el rosedal ||lima |||||958333795|frank.hajek@seperu.org 
postmast@ser.org.pe |asociacion servicios educativos rurales - ser |jr. domingo ponte 840 (altura cda. 7 javier prado oeste) ||lima |||||472-7950 / 472-7937 |postmast@ser.org.pe 
yoli8644@hotmail.com |asociacion shura - |jr. san martin 338, urb. satipo ||junín |||||948452003|yoli8644@hotmail.com 
cesar.machuca2011@hotmail.com |asociacion sin fines de lucro: caritas sin lagrimas - peru - |calle ollantay mza. 1-3 lote 13, aa.hh. pamplona alta ||lima |||||923826439|cesar.machuca2011@hotmail.com 
excygruasperona@yahoo.es |ambiente - asfadesa |manzana d1 - lote 21, piso 2, covicorti - natasha ||la libertad |||||971424210|excygruasperona@yahoo.es 
alejandromas12@hotmail.com |asociacion solidaria y asistencial cambiando vidas - |jr. guzman barron 574, urb. santo dominguito ||la libertad |||||958871593|alejandromas12@hotmail.com 
asocrisaa2012@yahoo.es |asociacion solidaridad cristiana ayudanos a ayudar - asocrisaa |calle mariscal castilla 211 ||loreto |||||065-352524/065-352763 |asocrisaa2012@yahoo.es 
ongyacus@outlook.com.pe |asociacion solidaridad integrando yacus al peru - asiyap |jr. yapura 143 ||lima |||||4210517|ongyacus@outlook.com.pe 
franzeckerperu@yahoo.com.ar |asociacion solidaridad peru alemania - |mz. i-1 lote 7 asoc. pro viv. compradores de terrenos de campoy ||lima |||||386-1884 |franzeckerperu@yahoo.com.ar 
solwanka@hotmail.com |asociacion solidaridad wanka - solwanka |av. mariscal castilla 4529 ||junín |||||064-799483 |solwanka@hotmail.com 
solvertchim@hotmail.com |asociacion solidaridad, verdad y tecnologia - solvert |urb. el trapecio r 14 - 2° etapa ||ancash |||||994855341|solvertchim@hotmail.com 
asociacion_solucion_verde@hotmail.com |asociacion solucion verde - assove |jr. comandante suarez nº 798 sector el arenal - calleria ||ucayali |||||961959344|asociacion_solucion_verde@hotmail.com 
jilatamasi@hotmail.com |asociacion suma qamaña para la educacion y desarrollo sostenible - |urb. aziruni - i etapa - mza. 8 lote 22 c.p. salcedo ||puno |||||951794199|jilatamasi@hotmail.com 
sumaqillari_np@hotmail.com |asociacion sumaq illari - |mz. l lote 21, asociacion de vivienda valle chillon ||lima |||||920117448|sumaqillari_np@hotmail.com 
sut-iyay@hotmail.com ||jr. tupac yupanqui 385 ||cajamarca |||||076-348507 |sut-iyay@hotmail.com 
agjimenez@yahoo.com |asociacion suyay peru - |calle grimaldo del solar 162, oficina 907 ||lima |||||333-7343 |agjimenez@yahoo.com 
asociaciontallerdelosninos@gmail.com |asociacion taller de los niños - |jr. maria parado de bellido 179 ||lima |||||461-9389 |asociaciontallerdelosninos@gmail.com 
ong.tarpusunchis@lasalle.org.pe |asociacion tarpusunchis - |almitante guisse 1070 ||lima |||||470-2296 |ong.tarpusunchis@lasalle.org.pe 
director@atekperu.org |asociacion tawantinsuyuman evangelioq k´ancharinanpaq - atek |apv. villa rinconada lote c-11 ||cusco |||||(084) 271233 |director@atekperu.org 
josecayaorubio@hotmail.com |asociacion tecnica desarrollo economico social ambiental - a.t.d.e.s.a |calle andres razuri 335 pp.jj santos chocano ||lambayeque |||||939265121 / 944607989 / |josecayaorubio@hotmail.com 
directornacional@detec.org.pe / detec@detec.org.pe |asociacion tecnologia ecologia y desarrollo - detec |calle san diego 282 - oficina 504 ||lima |||||4466345|directornacional@detec.org.pe / detec@detec.org.pe 
tecnides@hotmail.com |asociacion tecnologia y desarrollo - tecnides |calle uno 735 urbanizacion corpac ||lima |||||224-4282 |tecnides@hotmail.com 
fernandovelasco2000@yahoo.com ||calle andromeda 666 urb. matellini ||lima |||||251-1694 / 266-6112 |fernandovelasco2000@yahoo.com 
asociacion3fronteras@gmail.com |asociacion tres fronteras - |carretera puerto maldonado iberia km. 60.5 cc. la alegria ||madre de dios |||||982789930|asociacion3fronteras@gmail.com 
ucydesucydes@gmail.com |asociacion union para la cooperacion y el desarrollo - ucydes |calle arica 262 ||lima |||||995620029|ucydesucydes@gmail.com 
urpichallaymarcara@gmail.com |asociacion urpichallay - urpichallay |av. augusto b. leguia s/n - urb. la florida ||ancash |||||043-784957 |urpichallaymarcara@gmail.com 
akourip@gmail.com |asociacion vamos peerless - |calle los alamos 396, dpto. 305 ||lima |||||999532007|akourip@gmail.com 
asociacionvegaperu@hotmail.com |asociacion vega - |av. guardia civil mz. q lote 21 - urb. miraflores ||piura |||||074 - 493117 |asociacionvegaperu@hotmail.com 
rcabello@vialibre.org.pe |asociacion via libre - |jr. paraguay 490, urb. cercado ||lima |||||203-9900 |rcabello@vialibre.org.pe 
ong.avindes@gmail.com |asociacion vida, inclusion y desarrollo - avindes |jr. mariano arredondo 2603 , urb. los cipreces ||lima |||||947229069|ong.avindes@gmail.com 
info@vidawasiperu.org |asociacion vidawasi peru - |calle micaela bastidas 155 - urb. santa ana ||lima |||||442-5905 |info@vidawasiperu.org 
willy.arakaki@warmapura.org / david.pelico@warmapura.org |asociacion warma pura - |"calle pablo bermudez 150 dpto. 10 ""d"", santa beatriz "||lima |||||7718614 / 983728651 |willy.arakaki@warmapura.org / david.pelico@warmapura.org 
orestes@yachayperu.org |asociacion yachay kallpa - yachay kallpa |av.velasco astete 1246 urb.chacarilla ||lima |||||713-9898 |orestes@yachayperu.org 
ongastalentum@gmail.com |astalentum - |calle las lilas 148 - coop. valle saron ||lima |||||318-0940 |ongastalentum@gmail.com 
elizabeth@atiycuy-peru.org |atiycuy peru - |calle loma de las magnolias 296, int 401 urb. prolg. benavides ||lima |||||956392317|elizabeth@atiycuy-peru.org 
luismiguel.artieta@avina.net |avina - |av. armendariz 480 - urb. armendariz ||lima |||||625-4722 |luismiguel.artieta@avina.net 
ayneperu@hotmail.com |ayne peru trinitarias, solidaridad y desarrollo - ayne peru |av. buenos aires 500-a ||lima |||||548-1633 |ayneperu@hotmail.com 
luis.alanoca@aynidesarrollo.org.pe |ayni - grupo de cooperacion para el desarrollo social - ayni desarrollo |jr. mariscal miller 1821 dpto: 301 ||lima |||||265-9533 |luis.alanoca@aynidesarrollo.org.pe 
aynimundo@aynimundo.org |aynimundo - |calle arturo suarez 182 - zona b ||lima |||||450-9561 |aynimundo@aynimundo.org 
eliana.latorre@fzs.org |avisa - szf peru |urb. entel peru c-1 ||cusco |||||(084) 253840 |eliana.latorre@fzs.org 
jirpp7@hotmail.com |ayudando a vivir mejor - |calle venecia 295 dpto. 301 urb. chacarilla ||lima |||||987152075|jirpp7@hotmail.com 
bethelchirapa@hotmail.com |bcprovide - |urb. los girasoles mz. k lote 4 ||lima |||||993528045|bethelchirapa@hotmail.com 
bettylinaresfundacion@hotmail.com / |betty linares fundacion - bl fundacion |fundacion alto buena vista mz. e lote 17 ||arequipa |||||(054) 335644 / 991140248 / |bettylinaresfundacion@hotmail.com / 
bienestarglobalperu@gmail.com / dccopas@hotmail.com |bienestar global - |jr. tupac catari 209 - barrio huascar ||puno |||||954-635632 / 981818118 |bienestarglobalperu@gmail.com / dccopas@hotmail.com 
r_vasquez_m@hotmail.com |biosfera-sos - |calle 1 - mz. f lote 3 - urb. el bosque ||ucayali |||||961584894|r_vasquez_m@hotmail.com 
cleon@buckner.org | - buckner peru |calle tarata 269 ofc. 205 ||lima |||||446-9390 |cleon@buckner.org 
proyectos@camarahuancayo.org.pe |camara de comercio de huancayo - cch |av. giraldez 634 ||junín |||||(064) 211226 / 944441600 |proyectos@camarahuancayo.org.pe 
gerenciageneral@cclam.org.pe |camara de comercio y produccion de lambayeque - cclam |av. jose balta 506 ||lambayeque |||||074 - 238081 / 233040 |gerenciageneral@cclam.org.pe 
cnf@cnf.org.pe |camara nacional forestal - cnf |jr. ramon dagnino 369 ||lima |||||430-4605 |cnf@cnf.org.pe 
imendez@camexperu.org.pe |camara peruana de comercio exterior - |av. jorge basadre 825, 3° piso ||lima |||||441-2692 |imendez@camexperu.org.pe 
camcafe@camcafeperu.com.pe |camara peruana del cafe y cacao - cpcc |calle alcanfores 1245 ||lima |||||242-8989 / 445-7941 |camcafe@camcafeperu.com.pe 
cclima-ong@hotmail.com |cambio climatico y medio ambiente - cclima |av. mariano condorcanqui mza. a1 - lote 54- villa corpac ||lima |||||5431080|cclima-ong@hotmail.com 
caminando_haciati@hotmail.com ||jr. diego de almagro 849, dpto. 3 interior e-4 - centro civico ||la libertad |||||936775817 / 948676586 |caminando_haciati@hotmail.com 
caminodelaesperanza75@gmail.com |camino de la esperanza - |"calle ""r"" mz. l1 lote 42, el alamo "||lima |||||998430835|caminodelaesperanza75@gmail.com 
capirona01@capirona.org |capirona - investigacion y desarrollo - capirona |jr. manuela morey nº 245 ||san martín |||||042 - 525217 |capirona01@capirona.org 
chsalternativo@chsalternativo.org |capital humano y social alternativo - |calle alfredo salazar 225 ||lima |||||421-3396 / 221-0438 |chsalternativo@chsalternativo.org 
bnunez@care.org.pe / bblas@care.org.pe |care peru - |av. antonio miroquesada 360, piso 2°, oficina 116 ||lima |||||640-9393 |bnunez@care.org.pe / bblas@care.org.pe 
caritas.abancay@caritasabancay.org |caritas abancay - |av. daniel alcides carrion 511 ||apurimac |||||(083) 321453 |caritas.abancay@caritasabancay.org 
chuancayo.sg@hotmail.com |caritas arquidiocesana de huancayo - caritas huancayo |jr. lima 415 ||junín |||||(064) 234391 |chuancayo.sg@hotmail.com 
ccusco@caritas.org |caritas arquidiocesana del cusco - |carmen bajo 206 ||cusco |||||(084) 226966 |ccusco@caritas.org 
catalaya@caritas.org.pe / madelcg@hotmail.com |caritas atalaya - |calle ocopa 169 ||ucayali |||||(064) 545458 |catalaya@caritas.org.pe / madelcg@hotmail.com 
cayacucho@caritas.org.pe |caritas ayacucho - |jr. 9 de diciembre 218 ||ayacucho |||||(066) 312932 |cayacucho@caritas.org.pe 
ccaraveli@caritas.org.pe |caritas caraveli - |calle inca roca s/n tercera cuadra ||ica |||||056-522669 |ccaraveli@caritas.org.pe 
cchiclayo@caritas.org.pe |caritas chiclayo - |km. 5 carretera pimentel, sector la garita ||lambayeque |||||074-203626 |cchiclayo@caritas.org.pe 
caritaschota@gmail.com | - |jr. gregorio malca 1023 y 1027 ||cajamarca |||||(076) 311814 |caritaschota@gmail.com 
chuaraz@caritashz.com |caritas de huaraz - |av. confraternidad internacional este 264 ||ancash |||||(043) 421558 |chuaraz@caritashz.com 
postmaster@caritas.org.pe |caritas del peru - |calle omicron 492 - parque internacional de la industria y ||callao |||||613-5200 |postmaster@caritas.org.pe 
carequipa@caritas.org.pe |caritas diocesana de arequipa - |calle federico barreto 146 ||arequipa |||||(054) 608800 |carequipa@caritas.org.pe 
chuancavelica@caritas.org.pe |caritas diocesana de huancavelica - |jr. antonio raymondi 282 ||huancavelica |||||(067) 453028 |chuancavelica@caritas.org.pe 
ciquitos@caritas.org.pe |caritas diocesana de iquitos - |malecón tarapaca nº 260 ||loreto |||||(065) 222200 |ciquitos@caritas.org.pe 
chuanuco@caritas.org.pe |caritas huanuco - |jr. damaso beraun 950 ||huánuco |||||(062) 513467 |chuanuco@caritas.org.pe 
chuari@caritas.org.pe |caritas huari - |jr. ancash 920 ||ancash |||||043-453067 |chuari@caritas.org.pe 
cica@caritas.org.pe |caritas ica - |calle cajamarca nº 246 ||ica |||||056-232852 |cica@caritas.org.pe 
cjaen@caritas.org.pe |caritas jaen - |calle diego palomino 1720 ||cajamarca |||||(076) 262192 |cjaen@caritas.org.pe 
cmadrededios@caritas.org.pe |caritas madre de dios - |jr. cusco 308 cercado puerto maldonado ||madre de dios |||||(082) 503628 |cmadrededios@caritas.org.pe 
csjamazonas@caritas.org.pe |caritas san jose del amazonas - |calle rvdo. p. edilberto valles 964 ||loreto |||||(065) 633935 |csjamazonas@caritas.org.pe 
cselva.central@caritas.org.pe |caritas selva central - |calle aviacion 413 ||junín |||||(064) 545458 |cselva.central@caritas.org.pe 
cyurimaguas.ejecutiv@caritas.org.pe |caritas yurimaguas - |calle atanasio jáuregui 104 ||loreto |||||(065) 351034 |cyurimaguas.ejecutiv@caritas.org.pe 
casadelaguilaicm@gmail.com |casa del aguila - |playa sauceda km. 86.5 carretera cusco-abancay ||cusco |||||(084) 630384 / 973582227 |casadelaguilaicm@gmail.com 
casahogar.angelgabriel@hotmail.com |casa hogar angel gabriel s.i.t. - |urb. miraflores y-14 ii etapa ||piura |||||073-344723 |casahogar.angelgabriel@hotmail.com 
cddperu@catolicasporelderechoadecidir.net |catolicas por el derecho a decidir-peru - cdd-peru |av. arenales 773, oficina 304 ||lima |||||379-4221 |cddperu@catolicasporelderechoadecidir.net 
delbusto@cede.ws |center for development - |jirón puerto eten 151, b-12 ||lima |||||652-9227 |delbusto@cede.ws 
creeh@creehperu.org |salud ambiental - creeh peru - |talara 418, e-2, agrupacion angamos ||lima |||||583-7127 |creeh@creehperu.org 
ashaninkarioene@yahoo.es / tsonkirijaniki@gmail.com |central ashaninka del rio ene - care |jr. francisco irazola 1401 ||junín |||||(064) 545670 |ashaninkarioene@yahoo.es / tsonkirijaniki@gmail.com 
cafeycacao@centralcafeycacao.org ||calle enrique villar 103, urb. santa beatriz, lima. ||lima |||||265-3844 / 265-5392 |cafeycacao@centralcafeycacao.org 
cepeserpiura@speedy.com.pe |central peruana de servicios - cepeser |jr. arequipa 642 - 6° piso, oficina 8 ||piura |||||(073) 327990 |cepeserpiura@speedy.com.pe 
cadeslib@yahoo.es |cades la libertad |calle felipe pinglo 610 urb. primavera ||la libertad |||||(044) 250306 |cadeslib@yahoo.es 
cadesperu21@gmail.com / andresurbano37@hotmail.com |centro alternativo para el desarrollo social - cades peru 21 |av. tupac amaru 229, 2° piso ||lima |||||997483421 / 943053834 |cadesperu21@gmail.com / andresurbano37@hotmail.com 
caaapdirec@caaap.org.pe |centro amazonico de antropologia y aplicacion practica - c.aaa.p |av. gonzalez prada 626 ||lima |||||461- 5223 / 460 - 0763 |caaapdirec@caaap.org.pe 
cadep@cadep.org.pe |centro andino de educacion y promocion jose maria arguedas - cadep j.m.a. |jr. atahuallpa 482 ||cusco |||||(084) 228021 |cadep@cadep.org.pe 
annsullivan@annsullivanperu.org |centro ann sullivan del peru - casp |calle petronila alvarez 180 urb. pando v etapa ||lima |||||514-7100 / 514-7107 |annsullivan@annsullivanperu.org 
casia.arequipa@gmail.com |centro asistencial integral arequipa - casia |calle guatemala 207 ||arequipa |||||054-312161 |casia.arequipa@gmail.com 
walney_2003@hotmail.com |centro capacitacion agraria de la nacion andina - ccanan |jr. los cedros 124 ||ayacucho |||||935970937|walney_2003@hotmail.com 
informacion@cedsperu.org |centro cristiano de educacion y desarrollo social (c.e.d.s) - |av. teodoro valcarcel 819 urb. primavera ||la libertad |||||949426317|informacion@cedsperu.org 
ccnosotros.edu.pe@gmail.com |centro cultural nosotros - cencunos |jr. francisco de zela 1183 ||lima |||||472-5856 |ccnosotros.edu.pe@gmail.com 
dollivet260981@hotmail.com |centro cultural peru - sican - |av. grau 957 ||loreto |||||965018915|dollivet260981@hotmail.com 
pnacional51@hotmail.com |centro de estudios desarrollo solidaridad y democracia - dsd |calle la pinta 193 oficina 202 ||lima |||||255-4554 |pnacional51@hotmail.com 
castichuaraz@gmail.com |centro de accion social tecnica y de capacitacion - castic |pasaje los ficus mz. a lote 5 urb. santa catalina - vichay ||ancash |||||043 - 221130 |castichuaraz@gmail.com 
pedro_sandoval_boudri@hotmail.com |centro de alto rendimiento deportivo pedro sandoval boudri - card-psb |calle trinidad moran 238 ||lima |||||4215248|pedro_sandoval_boudri@hotmail.com 
gabrielarenteriahernandez@hotmail.com / |centro de apoyo a niños/as adolescentes trabajadores - canat |jr. b 356 zona comercial mercado modelo de piura ||piura |||||(073) 320416 |gabrielarenteriahernandez@hotmail.com / 
ceadase@latinmail.com |centro de apoyo al desarrollo agro-socio economico - ceadase |manzana a lote 03 urb. trupal ||la libertad |||||044-200570 |ceadase@latinmail.com 
cadeh-peru@hotmail.com |cadeh peru |jr. los capulies 201 recaudadores de monterrico ||lima |||||4342359|cadeh-peru@hotmail.com 
admin@splendorcasahogar.com |tercera edad - |mz. a lte. 26 - urb. good year ||lima |||||263 7824/522-0300 |admin@splendorcasahogar.com 
acya-peru@hotmail.com |centro de apoyo capacitacion y asistencia para el peru - centro acya-perú |mz. h, lote 13, aa.hh. andres avelino caceres ||piura |||||073-300264 |acya-peru@hotmail.com 
